country,sector,source_region,target_region,bootstrap_frequency,promoted_stable_edge
FR,JZ,7523,7621,0.04020100502512563,0
FR,BE,7505,7603,0.04020100502512563,0
FR,FZ,2801,8414,0.04020100502512563,0
FR,MN,7520,9315,0.04020100502512563,0
FR,GI,2819,5204,0.04020100502512563,0
FR,MN,9312,9313,0.04020100502512563,0
FR,JZ,5315,8433,0.04020100502512563,0
FR,BE,5204,8415,0.035175879396984924,0
FR,FZ,1103,3214,0.035175879396984924,0
FR,GI,5301,5313,0.035175879396984924,0
FR,LZ,2405,2810,0.035175879396984924,0
FR,FZ,4422,7511,0.035175879396984924,0
FR,RU,1106,4413,0.035175879396984924,0
FR,KZ,2806,7523,0.035175879396984924,0
FR,MN,3221,7513,0.035175879396984924,0
FR,GI,2714,5210,0.035175879396984924,0
FR,OQ,1109,5315,0.035175879396984924,0
FR,KZ,1105,1113,0.035175879396984924,0
FR,RU,3213,9301,0.035175879396984924,0
FR,MN,1110,2403,0.035175879396984924,0
FR,RU,5303,7615,0.035175879396984924,0
FR,GI,2410,4401,0.03015075376884422,0
FR,OQ,5209,5211,0.03015075376884422,0
FR,KZ,2704,8435,0.03015075376884422,0
FR,KZ,7616,7620,0.03015075376884422,0
FR,BE,7531,7619,0.03015075376884422,0
FR,KZ,3222,9315,0.03015075376884422,0
