ZE2020,target_year,node_idx,side_establishment_creations_official,side_enterprise_creations_official,side_lag_1,growth_1y,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe,is_covid_year,is_post_covid_rebound,side_stock_total_t_minus_1
12,2016,11,7480.0,7480.0,7827.0,-0.0443337166219496,0,0,0,1,0,0,51539.0
13,2016,12,4588.0,4588.0,4874.0,-0.0586787033237587,0,0,0,1,0,0,34310.0
14,2016,13,3614.0,3614.0,3701.0,-0.0235071602269656,0,0,0,1,0,0,26908.0
15,2016,14,1245.0,1245.0,1298.0,-0.0408320493066255,0,0,0,1,0,0,8524.0
16,2016,15,3254.0,3254.0,3245.0,0.0027734976887519,0,0,0,1,0,0,22739.0
17,2016,16,2751.0,2751.0,2954.0,-0.0687203791469194,0,0,0,1,0,0,24029.0
18,2016,17,58627.0,58627.0,56637.0,0.0351360418101241,0,0,0,1,0,0,323037.0
19,2016,18,1871.0,1871.0,1824.0,0.0257675438596491,0,0,0,1,0,0,11513.0
20,2016,19,1885.0,1885.0,1907.0,-0.0115364446775039,0,0,0,1,0,0,14134.0
21,2016,20,3533.0,3533.0,3524.0,0.0025539160045402,0,0,0,1,0,0,23494.0
22,2016,21,1646.0,1646.0,1675.0,-0.0173134328358208,0,0,0,1,0,0,11820.0
23,2016,22,2541.0,2541.0,2592.0,-0.0196759259259259,0,0,0,1,0,0,18749.0
24,2016,23,3523.0,3523.0,3653.0,-0.0355871886120996,0,0,0,1,0,0,25917.0
25,2016,24,3911.0,3911.0,3893.0,0.0046236835345491,0,0,0,1,0,0,24361.0
1,2017,0,3548.0,3548.0,3419.0,0.0377303305059959,0,0,0,1,0,0,28505.0
2,2017,1,6207.0,6207.0,6156.0,0.0082846003898635,0,0,0,1,0,0,44484.0
3,2017,2,5297.0,5297.0,5396.0,-0.018346923647146,0,0,0,1,0,0,40145.0
4,2017,3,30188.0,30188.0,28493.0,0.0594882953707928,0,0,0,1,0,0,193084.0
5,2017,4,1248.0,1248.0,1403.0,-0.1104775481111903,0,0,0,1,0,0,12297.0
6,2017,5,5170.0,5170.0,4903.0,0.0544564552314909,0,0,0,1,0,0,37531.0
7,2017,6,2893.0,2893.0,3049.0,-0.0511643161692358,0,0,0,1,0,0,30274.0
8,2017,7,1906.0,1906.0,1977.0,-0.0359129994941831,0,0,0,1,0,0,19198.0
9,2017,8,11648.0,11648.0,11151.0,0.044569993722536,0,0,0,1,0,0,66106.0
10,2017,9,6433.0,6433.0,6064.0,0.0608509234828496,0,0,0,1,0,0,43106.0
11,2017,10,5775.0,5775.0,5952.0,-0.0297379032258064,0,0,0,1,0,0,41400.0
12,2017,11,7618.0,7618.0,7480.0,0.0184491978609625,0,0,0,1,0,0,52269.0
13,2017,12,4881.0,4881.0,4588.0,0.0638622493461203,0,0,0,1,0,0,35022.0
14,2017,13,3461.0,3461.0,3614.0,-0.0423353624792473,0,0,0,1,0,0,27276.0
15,2017,14,1287.0,1287.0,1245.0,0.0337349397590361,0,0,0,1,0,0,8705.0
16,2017,15,3364.0,3364.0,3254.0,0.0338045482483097,0,0,0,1,0,0,23146.0
17,2017,16,2677.0,2677.0,2751.0,-0.0268993093420574,0,0,0,1,0,0,24003.0
18,2017,17,63889.0,63889.0,58627.0,0.0897538676718918,0,0,0,1,0,0,336230.0
19,2017,18,1860.0,1860.0,1871.0,-0.0058792089791555,0,0,0,1,0,0,12040.0
20,2017,19,2043.0,2043.0,1885.0,0.0838196286472148,0,0,0,1,0,0,14432.0
21,2017,20,3372.0,3372.0,3533.0,-0.0455703368242287,0,0,0,1,0,0,24152.0
22,2017,21,1655.0,1655.0,1646.0,0.00546780072904,0,0,0,1,0,0,12143.0
23,2017,22,2762.0,2762.0,2541.0,0.0869736324281778,0,0,0,1,0,0,19086.0
24,2017,23,3790.0,3790.0,3523.0,0.0757876809537326,0,0,0,1,0,0,26360.0
25,2017,24,4272.0,4272.0,3911.0,0.0923037586295065,0,0,0,1,0,0,25108.0
1,2018,0,4010.0,4010.0,3548.0,0.1302142051860202,0,0,0,1,0,0,29151.0
2,2018,1,6723.0,6723.0,6207.0,0.0831319478008699,0,0,0,1,0,0,46075.0
3,2018,2,5293.0,5293.0,5297.0,-0.0007551444213705,0,0,0,1,0,0,41257.0
4,2018,3,30674.0,30674.0,30188.0,0.0160991122300251,0,0,0,1,0,0,200898.0
5,2018,4,1787.0,1787.0,1248.0,0.4318910256410256,0,0,0,1,0,0,12338.0
6,2018,5,5331.0,5331.0,5170.0,0.0311411992263056,0,0,0,1,0,0,39010.0
7,2018,6,4017.0,4017.0,2893.0,0.3885240235050121,0,0,0,1,0,0,30340.0
8,2018,7,3230.0,3230.0,1906.0,0.6946484784889821,0,0,0,1,0,0,19013.0
9,2018,8,12390.0,12390.0,11648.0,0.063701923076923,0,0,0,1,0,0,70521.0
10,2018,9,6502.0,6502.0,6433.0,0.0107259443494481,0,0,0,1,0,0,44939.0
11,2018,10,5710.0,5710.0,5775.0,-0.0112554112554112,0,0,0,1,0,0,42386.0
12,2018,11,7035.0,7035.0,7618.0,-0.0765292727750065,0,0,0,1,0,0,53666.0
13,2018,12,4323.0,4323.0,4881.0,-0.1143208358942839,0,0,0,1,0,0,36101.0
14,2018,13,3747.0,3747.0,3461.0,0.082635076567466,0,0,0,1,0,0,27670.0
15,2018,14,1099.0,1099.0,1287.0,-0.146076146076146,0,0,0,1,0,0,8919.0
