ze2020,year,sector_code,sector_share_lag_1,mask_sector_share_lag_1_available,sector_growth_lag_1,mask_sector_growth_lag_1_available,sector_growth_lag_2,mask_sector_growth_lag_2_available,dominant_sector_lag_1,dominant_sector_share_lag_1,sector_diversity_lag_1,sector_concentration_hhi_lag_1,commerce_share_lag_1,construction_share_lag_1,mask_ze_sector_distribution_lag_1_available,national_sector_share_lag_1,mask_national_sector_share_lag_1_available,national_sector_growth_lag_1,mask_national_sector_growth_lag_1_available
7514,2016,LZ,0.0311710193765796,1,0.27586206896551724,1,-0.06451612903225806,1,GI,0.2813816343723673,0.8881810283012447,0.1664671117675406,0.2813816343723673,0.151642796967144,1,0.035371402187647366,1,0.08078120293202118,1
7514,2016,MN,0.1701769165964616,1,0.1348314606741573,1,-0.02197802197802198,1,GI,0.2813816343723673,0.8881810283012447,0.1664671117675406,0.2813816343723673,0.151642796967144,1,0.20379921754718625,1,-0.009621757148446597,1
7514,2016,OQ,0.113732097725358,1,0.07142857142857142,1,-0.136986301369863,1,GI,0.2813816343723673,0.8881810283012447,0.1664671117675406,0.2813816343723673,0.151642796967144,1,0.12365613482769443,1,0.029563861223596444,1
7514,2016,RU,0.117944397641112,1,-0.18604651162790697,1,0.10967741935483871,1,GI,0.2813816343723673,0.8881810283012447,0.1664671117675406,0.2813816343723673,0.151642796967144,1,0.098999505421468,1,-0.059914808631477134,1
7514,2017,BE,0.0567986230636833,1,-0.26666666666666666,1,-0.2857142857142857,1,GI,0.3253012048192771,0.8581773654338873,0.18603304291668754,0.3253012048192771,0.1480206540447504,1,0.05030998459694309,1,0.006867455038186643,1
7514,2017,FZ,0.1480206540447504,1,-0.044444444444444446,1,-0.1346153846153846,1,GI,0.3253012048192771,0.8581773654338873,0.18603304291668754,0.3253012048192771,0.1480206540447504,1,0.10250803621026326,1,-0.023311390326506087,1
7514,2017,GI,0.3253012048192771,1,0.1317365269461078,1,-0.08743169398907104,1,GI,0.3253012048192771,0.8581773654338873,0.18603304291668754,0.3253012048192771,0.1480206540447504,1,0.3122235028182516,1,0.13259205921261952,1
7514,2017,JZ,0.0223752151462994,1,-0.037037037037037035,1,0.038461538461538464,1,GI,0.3253012048192771,0.8581773654338873,0.18603304291668754,0.3253012048192771,0.1480206540447504,1,0.044385731937569145,1,0.07851934941110494,1
7514,2017,KZ,0.0258175559380378,1,-0.2857142857142857,1,0.07692307692307693,1,GI,0.3253012048192771,0.8581773654338873,0.18603304291668754,0.3253012048192771,0.1480206540447504,1,0.03293884478611909,1,0.02142482225509368,1
7514,2017,LZ,0.0292598967297762,1,-0.08108108108108109,1,0.27586206896551724,1,GI,0.3253012048192771,0.8581773654338873,0.18603304291668754,0.3253012048192771,0.1480206540447504,1,0.03467457387696943,1,0.04677846425419241,1
