task,scenario,model,metric,left,right,groups,mean_left,mean_right,left_wins_share,ties_share
lift,target_shuffle,mlp_entry_classifier,recall_at_3,base_plus_target_aligned_lifts,shuffled_target_aligned_lifts,5519,0.36520806909464276,0.36557045358458656,0.002536691429606813,0.9942018481608987
lift,target_shuffle,mlp_entry_classifier,recall_at_3,target_aligned_lift_features,shuffled_target_aligned_lifts,5519,0.4238690584043002,0.36557045358458656,0.2766805580721145,0.5332487769523464
lift,target_shuffle,mlp_entry_classifier,mean_growth_selected,base_formula_features,no_relation_features,5600,0.2696408147495024,0.26575604299142597,0.39982142857142855,0.21839285714285714
lift,target_shuffle,mlp_entry_classifier,mean_growth_selected,base_plus_target_aligned_lifts,no_relation_features,5600,0.2630458137491794,0.26575604299142597,0.44339285714285714,0.09857142857142857
lift,target_shuffle,mlp_entry_classifier,mean_growth_selected,target_aligned_lift_features,no_relation_features,5600,0.2676461914611063,0.26575604299142597,0.4035714285714286,0.19678571428571429
lift,target_shuffle,mlp_entry_classifier,mean_growth_selected,base_plus_target_aligned_lifts,shuffled_target_aligned_lifts,5600,0.2630458137491794,0.2632298808535938,0.005535714285714285,0.9880357142857142
lift,target_shuffle,mlp_entry_classifier,mean_growth_selected,target_aligned_lift_features,shuffled_target_aligned_lifts,5600,0.2676461914611063,0.2632298808535938,0.38553571428571426,0.23714285714285716
lift,temporal_shuffle,logit_entry_classifier,recall_at_3,base_formula_features,no_relation_features,5265,0.7430515986071541,0.7413738524849636,0.0100664767331434,0.9821462488129155
lift,temporal_shuffle,logit_entry_classifier,recall_at_3,base_plus_target_aligned_lifts,no_relation_features,5265,0.7443178220955998,0.7413738524849636,0.011396011396011397,0.9810066476733144
lift,temporal_shuffle,logit_entry_classifier,recall_at_3,target_aligned_lift_features,no_relation_features,5265,0.7431782209559987,0.7413738524849636,0.003798670465337132,0.9950617283950617
lift,temporal_shuffle,logit_entry_classifier,recall_at_3,base_plus_target_aligned_lifts,shuffled_target_aligned_lifts,5265,0.7443178220955998,0.7443178220955998,0.0,1.0
lift,temporal_shuffle,logit_entry_classifier,recall_at_3,target_aligned_lift_features,shuffled_target_aligned_lifts,5265,0.7431782209559987,0.7443178220955998,0.006837606837606838,0.9851851851851852
lift,temporal_shuffle,logit_entry_classifier,mean_growth_selected,base_formula_features,no_relation_features,5600,0.35842074524875484,0.3580310495962649,0.02125,0.96125
lift,temporal_shuffle,logit_entry_classifier,mean_growth_selected,base_plus_target_aligned_lifts,no_relation_features,5600,0.35853622351027364,0.3580310495962649,0.02214285714285714,0.9608928571428571
lift,temporal_shuffle,logit_entry_classifier,mean_growth_selected,target_aligned_lift_features,no_relation_features,5600,0.3581674652790046,0.3580310495962649,0.006071428571428571,0.9880357142857142
lift,temporal_shuffle,logit_entry_classifier,mean_growth_selected,base_plus_target_aligned_lifts,shuffled_target_aligned_lifts,5600,0.35853622351027364,0.3585761894966682,0.0,0.9998214285714285
lift,temporal_shuffle,logit_entry_classifier,mean_growth_selected,target_aligned_lift_features,shuffled_target_aligned_lifts,5600,0.3581674652790046,0.3585761894966682,0.012142857142857143,0.9707142857142858
lift,temporal_shuffle,mlp_entry_classifier,recall_at_3,base_formula_features,no_relation_features,5265,0.7727128838239948,0.7386831275720165,0.1365622032288699,0.7810066476733143
lift,temporal_shuffle,mlp_entry_classifier,recall_at_3,base_plus_target_aligned_lifts,no_relation_features,5265,0.7675213675213675,0.7386831275720165,0.13580246913580246,0.7732193732193732
lift,temporal_shuffle,mlp_entry_classifier,recall_at_3,target_aligned_lift_features,no_relation_features,5265,0.7776194998417221,0.7386831275720165,0.13447293447293449,0.7954415954415954
lift,temporal_shuffle,mlp_entry_classifier,recall_at_3,base_plus_target_aligned_lifts,shuffled_target_aligned_lifts,5265,0.7675213675213675,0.767426400759734,0.0001899335232668566,0.9996201329534663
lift,temporal_shuffle,mlp_entry_classifier,recall_at_3,target_aligned_lift_features,shuffled_target_aligned_lifts,5265,0.7776194998417221,0.767426400759734,0.10598290598290598,0.8064577397910732
lift,temporal_shuffle,mlp_entry_classifier,mean_growth_selected,base_formula_features,no_relation_features,5600,0.36157084804550815,0.3554089105498293,0.2307142857142857,0.5841071428571428
lift,temporal_shuffle,mlp_entry_classifier,mean_growth_selected,base_plus_target_aligned_lifts,no_relation_features,5600,0.35773576854325007,0.3554089105498293,0.24392857142857144,0.54625
lift,temporal_shuffle,mlp_entry_classifier,mean_growth_selected,target_aligned_lift_features,no_relation_features,5600,0.36455242384203496,0.3554089105498293,0.22910714285714287,0.6057142857142858
lift,temporal_shuffle,mlp_entry_classifier,mean_growth_selected,base_plus_target_aligned_lifts,shuffled_target_aligned_lifts,5600,0.35773576854325007,0.35771445103903304,0.00035714285714285714,0.9992857142857143
lift,temporal_shuffle,mlp_entry_classifier,mean_growth_selected,target_aligned_lift_features,shuffled_target_aligned_lifts,5600,0.36455242384203496,0.35771445103903304,0.19625,0.6369642857142858
top3,full_control,logit_entry_classifier,recall_at_3,base_formula_features,no_relation_features,5580,0.6481481481481481,0.6508363201911589,0.0062724014336917565,0.982078853046595
top3,full_control,logit_entry_classifier,recall_at_3,base_formula_features,shuffled_relation_features,5580,0.6481481481481481,0.6507765830346476,0.012186379928315413,0.9722222222222222
top3,full_control,logit_entry_classifier,recall_at_3,no_relation_features,shuffled_relation_features,5580,0.6508363201911589,0.6507765830346476,0.013082437275985664,0.9758064516129032
top3,full_control,logit_entry_classifier,mean_growth_selected,base_formula_features,no_relation_features,5600,0.3831818307722889,0.3837159066573784,0.024107142857142858,0.9473214285714285
top3,full_control,logit_entry_classifier,mean_growth_selected,base_formula_features,shuffled_relation_features,5600,0.3831818307722889,0.38339180403988915,0.029285714285714286,0.9342857142857143
top3,full_control,logit_entry_classifier,mean_growth_selected,no_relation_features,shuffled_relation_features,5600,0.3837159066573784,0.38339180403988915,0.025357142857142856,0.9475
top3,full_control,mlp_entry_classifier,recall_at_3,base_formula_features,no_relation_features,5580,0.6502688172043011,0.6476403823178016,0.13530465949820789,0.7405017921146954
top3,full_control,mlp_entry_classifier,recall_at_3,base_formula_features,shuffled_relation_features,5580,0.6502688172043011,0.6538530465949821,0.07419354838709677,0.8442652329749104
top3,full_control,mlp_entry_classifier,recall_at_3,no_relation_features,shuffled_relation_features,5580,0.6476403823178016,0.6538530465949821,0.13064516129032258,0.7224014336917562
top3,full_control,mlp_entry_classifier,mean_growth_selected,base_formula_features,no_relation_features,5600,0.38240870563165513,0.3884822309210303,0.2394642857142857,0.49714285714285716
top3,full_control,mlp_entry_classifier,mean_growth_selected,base_formula_features,shuffled_relation_features,5600,0.38240870563165513,0.38435036438740267,0.13857142857142857,0.7091071428571428
top3,full_control,mlp_entry_classifier,mean_growth_selected,no_relation_features,shuffled_relation_features,5600,0.3884822309210303,0.38435036438740267,0.27285714285714285,0.4635714285714286
top3,sector_shuffle,logit_entry_classifier,recall_at_3,base_formula_features,no_relation_features,5537,0.5570555655890674,0.5573565709469628,0.03106375293480224,0.9351634459093372
top3,sector_shuffle,logit_entry_classifier,recall_at_3,base_formula_features,shuffled_relation_features,5537,0.5570555655890674,0.5578080789838059,0.03359219794112335,0.93173198482933
top3,sector_shuffle,logit_entry_classifier,recall_at_3,no_relation_features,shuffled_relation_features,5537,0.5573565709469628,0.5578080789838059,0.0420805490337728,0.9174643308650894
top3,sector_shuffle,logit_entry_classifier,mean_growth_selected,base_formula_features,no_relation_features,5600,0.3141935035953743,0.31368872717016366,0.06607142857142857,0.86875
top3,sector_shuffle,logit_entry_classifier,mean_growth_selected,base_formula_features,shuffled_relation_features,5600,0.3141935035953743,0.31449125780908216,0.06928571428571428,0.8578571428571429
top3,sector_shuffle,logit_entry_classifier,mean_growth_selected,no_relation_features,shuffled_relation_features,5600,0.31368872717016366,0.31449125780908216,0.08142857142857143,0.8308928571428571
top3,sector_shuffle,mlp_entry_classifier,recall_at_3,base_formula_features,no_relation_features,5537,0.5409367286737704,0.5611341881885498,0.15423514538558786,0.6545060502076937
top3,sector_shuffle,mlp_entry_classifier,recall_at_3,base_formula_features,shuffled_relation_features,5537,0.5409367286737704,0.5475437962795737,0.07133826982120282,0.8454036481849377
top3,sector_shuffle,mlp_entry_classifier,recall_at_3,no_relation_features,shuffled_relation_features,5537,0.5611341881885498,0.5475437962795737,0.18475708867617843,0.6528806212750587
top3,sector_shuffle,mlp_entry_classifier,mean_growth_selected,base_formula_features,no_relation_features,5600,0.30044279926982376,0.3075510845017531,0.3073214285714286,0.3314285714285714
top3,sector_shuffle,mlp_entry_classifier,mean_growth_selected,base_formula_features,shuffled_relation_features,5600,0.30044279926982376,0.30630436353737817,0.15,0.6671428571428571
top3,sector_shuffle,mlp_entry_classifier,mean_growth_selected,no_relation_features,shuffled_relation_features,5600,0.3075510845017531,0.30630436353737817,0.3480357142857143,0.32839285714285715
top3,target_shuffle,logit_entry_classifier,recall_at_3,base_formula_features,no_relation_features,5525,0.5061538461538462,0.5049170437405732,0.015565610859728506,0.9715837104072398
top3,target_shuffle,logit_entry_classifier,recall_at_3,base_formula_features,shuffled_relation_features,5525,0.5061538461538462,0.5037858220211162,0.02986425339366516,0.9435294117647058
top3,target_shuffle,logit_entry_classifier,recall_at_3,no_relation_features,shuffled_relation_features,5525,0.5049170437405732,0.5037858220211162,0.02914027149321267,0.9422624434389141
top3,target_shuffle,logit_entry_classifier,mean_growth_selected,base_formula_features,no_relation_features,5600,0.2644477277711548,0.2634154607895205,0.028035714285714285,0.9471428571428572
