relation_family,decision_year,source_sector,target_sector,source_label,target_label,weight,p_value,n_zones,bh_rejected,sign_stability,r2_stable
precedence_intra,2020,GI,OQ,"Trade, transport, hospitality","Public administration, education, health",0.049736,0.4082568,280,False,,
precedence_intra,2020,GI,RU,"Trade, transport, hospitality",Other services,-0.008821,0.88349303,280,False,,
precedence_intra,2020,JZ,BE,Information and communication,Industry,-0.002033,0.9730519,280,False,,
precedence_intra,2020,JZ,FZ,Information and communication,Construction,0.053804,0.37093313,280,False,,
precedence_intra,2020,JZ,GI,Information and communication,"Trade, transport, hospitality",0.05369,0.37195109,280,False,,
precedence_intra,2020,JZ,KZ,Information and communication,Finance and insurance,-0.048997,0.41527117,280,False,,
precedence_intra,2020,JZ,LZ,Information and communication,Real estate,0.053814,0.37084651,280,False,,
precedence_intra,2020,JZ,MN,Information and communication,Professional and administrative services,0.022111,0.7133216,280,False,,
precedence_intra,2020,JZ,OQ,Information and communication,"Public administration, education, health",-0.079125,0.18774462,280,False,,
precedence_intra,2020,JZ,RU,Information and communication,Other services,-0.022411,0.70961192,280,False,,
precedence_intra,2020,KZ,BE,Finance and insurance,Industry,-0.009975,0.86837309,280,False,,
precedence_intra,2020,KZ,FZ,Finance and insurance,Construction,0.099484,0.09727014,280,False,,
precedence_intra,2020,KZ,GI,Finance and insurance,"Trade, transport, hospitality",0.027125,0.65216917,280,False,,
precedence_intra,2020,KZ,JZ,Finance and insurance,Information and communication,-0.023072,0.70144511,280,False,,
precedence_intra,2020,KZ,LZ,Finance and insurance,Real estate,0.098272,0.10144309,280,False,,
precedence_intra,2020,KZ,MN,Finance and insurance,Professional and administrative services,-0.020282,0.73612345,280,False,,
precedence_intra,2020,KZ,OQ,Finance and insurance,"Public administration, education, health",0.017415,0.77231779,280,False,,
precedence_intra,2020,KZ,RU,Finance and insurance,Other services,-0.085748,0.15327676,280,False,,
precedence_intra,2020,LZ,BE,Real estate,Industry,-0.073837,0.21910645,280,False,,
precedence_intra,2020,LZ,FZ,Real estate,Construction,-0.001173,0.98444977,280,False,,
precedence_intra,2020,LZ,GI,Real estate,"Trade, transport, hospitality",-0.028914,0.63088086,280,False,,
precedence_intra,2020,LZ,JZ,Real estate,Information and communication,-0.057164,0.34174668,280,False,,
precedence_intra,2020,LZ,KZ,Real estate,Finance and insurance,-0.050041,0.40538283,280,False,,
precedence_intra,2020,LZ,MN,Real estate,Professional and administrative services,-0.093198,0.12046294,280,False,,
precedence_intra,2020,LZ,OQ,Real estate,"Public administration, education, health",-0.018528,0.7581979,280,False,,
precedence_intra,2020,LZ,RU,Real estate,Other services,-0.072178,0.22967575,280,False,,
precedence_intra,2020,MN,BE,Professional and administrative services,Industry,0.254655,1.52e-05,280,True,1.0,True
precedence_intra,2020,MN,FZ,Professional and administrative services,Construction,0.135648,0.02335742,280,False,,
precedence_intra,2020,MN,GI,Professional and administrative services,"Trade, transport, hospitality",0.028701,0.63340364,280,False,,
precedence_intra,2020,MN,JZ,Professional and administrative services,Information and communication,0.09198,0.12542089,280,False,,
precedence_intra,2020,MN,KZ,Professional and administrative services,Finance and insurance,-0.021408,0.72205235,280,False,,
precedence_intra,2020,MN,LZ,Professional and administrative services,Real estate,0.096285,0.10858542,280,False,,
precedence_intra,2020,MN,OQ,Professional and administrative services,"Public administration, education, health",-0.01228,0.83834061,280,False,,
precedence_intra,2020,MN,RU,Professional and administrative services,Other services,0.049661,0.40896434,280,False,,
precedence_intra,2020,OQ,BE,"Public administration, education, health",Industry,0.04935,0.41191457,280,False,,
precedence_intra,2020,OQ,FZ,"Public administration, education, health",Construction,0.074137,0.21723239,280,False,,
