ze2020,ze2020_label,sector_code,sector_label,decision_year,sector_count_t,sector_count_t_plus_1,sector_count_t_plus_3,sector_share_t,sector_share_t_plus_1,sector_share_t_plus_3,future_growth_1y,future_growth_3y,future_rank_growth_3y_in_ze_year,future_top3_growth_3y_label,sector_rank_in_ze_year_t,sector_share_lag_1,sector_growth_lag_1,sector_growth_lag_2,dominant_sector_flag_t,dominant_sector_share_lag_1,sector_diversity_lag_1,sector_concentration_hhi_lag_1,commerce_share_lag_1,construction_share_lag_1,national_sector_share_lag_1,national_sector_growth_lag_1,relation_signal_strength_mean_to_t,relation_signal_strength_max_to_t,relation_stability_mean_to_t,relation_count_to_t,mask_sector_share_lag_1_available,mask_sector_growth_lag_1_available,mask_sector_growth_lag_2_available,mask_ze_sector_distribution_lag_1_available,mask_national_sector_share_lag_1_available,mask_national_sector_growth_lag_1_available,mask_future_growth_1y_available,mask_future_growth_3y_available,ranking_feature_complete,claim_status
5207,Fontenay-le-Comte,GI,"Trade, transport and hospitality",2020,361.0,419.0,292.0,0.3240574506283663,0.310140636565507,0.2154981549815498,0.16066481994459833,-0.19113573407202217,9.0,0,1,0.3240574506283663,0.0027777777777777,0.0975609756097561,1,0.3240574506283663,0.868813627845295,0.1817282247485084,0.3240574506283663,0.0951526032315978,0.345215160401502,0.1400568320320934,0.9532281419303467,0.9999999622904412,0.6620370370370371,54,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,JZ,Information and communication,2020,23.0,39.0,30.0,0.0206463195691202,0.0288675055514433,0.022140221402214,0.6956521739130435,0.30434782608695654,5.0,0,8,0.0206463195691202,-0.1153846153846153,1.8888888888888888,0,0.3240574506283663,0.868813627845295,0.1817282247485084,0.3240574506283663,0.0951526032315978,0.0467585958185838,0.0309927923738666,0.9486382098654611,0.9999999622904412,0.6513605442176871,49,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,KZ,Financial and insurance activities,2020,21.0,28.0,47.0,0.018850987432675,0.0207253886010362,0.0346863468634686,0.3333333333333333,1.2380952380952381,1.0,1,9,0.018850987432675,-0.16,0.1363636363636363,0,0.3240574506283663,0.868813627845295,0.1817282247485084,0.3240574506283663,0.0951526032315978,0.0299312798482399,0.0148373257061136,0.9547422825235395,0.9999999622904412,0.6649659863945577,49,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,LZ,Real estate activities,2020,66.0,83.0,81.0,0.059245960502693,0.0614359733530718,0.0597785977859778,0.25757575757575757,0.22727272727272727,7.0,0,7,0.059245960502693,0.1578947368421052,0.425,0,0.3240574506283663,0.868813627845295,0.1817282247485084,0.3240574506283663,0.0951526032315978,0.041195184422448,0.0740659280235338,0.9372588241555978,0.9999999622904412,0.5915032679738562,51,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,MN,Professional and administrative services,2020,182.0,233.0,230.0,0.163375224416517,0.1724648408586232,0.1697416974169741,0.2802197802197802,0.26373626373626374,6.0,0,2,0.163375224416517,0.04,0.2867647058823529,0,0.3240574506283663,0.868813627845295,0.1817282247485084,0.3240574506283663,0.0951526032315978,0.2146068019980197,-0.0155560715114929,0.9247210978375052,0.9999999622904412,0.6920289855072463,46,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,OQ,"Public administration, education and health",2020,84.0,90.0,123.0,0.0754039497307001,0.0666173205033308,0.0907749077490775,0.07142857142857142,0.4642857142857143,4.0,0,6,0.0754039497307001,-0.0666666666666666,-0.0217391304347826,0,0.3240574506283663,0.868813627845295,0.1817282247485084,0.3240574506283663,0.0951526032315978,0.0926535764109669,-0.0626620155534931,0.9422154194135849,0.9999999622904412,0.6684397163120567,47,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,RU,Arts and other services,2020,106.0,159.0,179.0,0.0951526032315978,0.1176905995558845,0.1321033210332103,0.5,0.6886792452830188,2.0,1,4,0.0951526032315978,-0.2262773722627737,0.4270833333333333,0,0.3240574506283663,0.868813627845295,0.1817282247485084,0.3240574506283663,0.0951526032315978,0.0874813753309734,-0.0757970723882093,0.9565431866145921,0.9999999622904412,0.6410256410256411,52,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,BE,Industry and energy,2021,191.0,247.0,280.0,0.1413767579570688,0.1822878228782287,0.1864181091877496,0.2931937172774869,0.46596858638743455,2.0,1,3,0.1413767579570688,0.1575757575757575,0.0377358490566037,0,0.310140636565507,0.8793931657477826,0.1757543415766262,0.310140636565507,0.080680977054034,0.0570575915662715,0.2689842258615493,0.9179062918192089,0.9999999622904412,0.6340579710144929,46,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,FZ,Construction,2021,109.0,112.0,97.0,0.080680977054034,0.0826568265682656,0.0645805592543275,0.027522935779816515,-0.11009174311926606,7.0,0,5,0.080680977054034,0.0283018867924528,0.3947368421052631,0,0.310140636565507,0.8793931657477826,0.1757543415766262,0.310140636565507,0.080680977054034,0.0848206622009154,0.1038225023221908,0.9457603197964792,0.9999999622904412,0.6442528735632183,58,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,GI,"Trade, transport and hospitality",2021,419.0,311.0,325.0,0.310140636565507,0.229520295202952,0.2163781624500665,-0.2577565632458234,-0.2243436754176611,9.0,0,1,0.310140636565507,0.1606648199445983,0.0027777777777777,1,0.310140636565507,0.8793931657477826,0.1757543415766262,0.310140636565507,0.080680977054034,0.3193575317538765,0.0796686429572883,0.9383777498656826,0.9999999622904412,0.6190476190476192,63,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
