ze2020,ze2020_label,year,sector_code,sector_label,sector_establishment_creations,total_establishment_creations,sector_share,sector_rank_in_ze_year,mask_sector_available
0052,Arles,2017,FZ,Construction,209.0,1677,0.12462731067382231,3,1
0052,Arles,2017,GI,"Trade, transport and hospitality",580.0,1677,0.345855694692904,1,1
0052,Arles,2017,JZ,Information and communication,35.0,1677,0.020870602265951103,9,1
0052,Arles,2017,KZ,Financial and insurance activities,53.0,1677,0.031604054859868815,7,1
0052,Arles,2017,LZ,Real estate activities,50.0,1677,0.02981514609421586,8,1
0052,Arles,2017,MN,Professional and administrative services,282.0,1677,0.16815742397137745,2,1
0052,Arles,2017,OQ,"Public administration, education and health",174.0,1677,0.1037567084078712,4,1
0052,Arles,2017,RU,Arts and other services,174.0,1677,0.1037567084078712,4,1
0052,Arles,2018,BE,Industry and energy,146.0,1788,0.08165548098434004,6,1
0052,Arles,2018,FZ,Construction,189.0,1788,0.10570469798657718,4,1
0052,Arles,2018,GI,"Trade, transport and hospitality",597.0,1788,0.3338926174496644,1,1
0052,Arles,2018,JZ,Information and communication,33.0,1788,0.018456375838926176,9,1
0052,Arles,2018,KZ,Financial and insurance activities,41.0,1788,0.022930648769574943,8,1
0052,Arles,2018,LZ,Real estate activities,70.0,1788,0.039149888143176735,7,1
0052,Arles,2018,MN,Professional and administrative services,341.0,1788,0.1907158836689038,2,1
0052,Arles,2018,OQ,"Public administration, education and health",194.0,1788,0.10850111856823266,3,1
0052,Arles,2018,RU,Arts and other services,177.0,1788,0.09899328859060402,5,1
0052,Arles,2019,BE,Industry and energy,152.0,2080,0.07307692307692308,6,1
0052,Arles,2019,FZ,Construction,216.0,2080,0.10384615384615385,4,1
0052,Arles,2019,GI,"Trade, transport and hospitality",698.0,2080,0.33557692307692305,1,1
0052,Arles,2019,JZ,Information and communication,52.0,2080,0.025,9,1
0052,Arles,2019,KZ,Financial and insurance activities,53.0,2080,0.02548076923076923,8,1
0052,Arles,2019,LZ,Real estate activities,87.0,2080,0.041826923076923074,7,1
0052,Arles,2019,MN,Professional and administrative services,399.0,2080,0.1918269230769231,2,1
0052,Arles,2019,OQ,"Public administration, education and health",181.0,2080,0.08701923076923077,5,1
0052,Arles,2019,RU,Arts and other services,242.0,2080,0.11634615384615385,3,1
