ze2020,ze2020_label,year,observed_value,target_variable,lag_1,lag_2,lag_3,growth_1y_safe,growth_2y_safe,mask_observed_available,mask_lag_1_available,mask_lag_2_available,mask_lag_3_available,node_id,similar_ze_lag_1_mean,similar_ze_lag_1_weighted_mean,similar_ze_growth_1y_safe_mean,similar_ze_count,relational_feature_available,dominant_sector_lag_1,dominant_sector_share_lag_1,sector_diversity_lag_1,sector_concentration_hhi_lag_1,commerce_share_lag_1,construction_share_lag_1,mask_ze_sector_distribution_lag_1_available,top_sector_signal_lag_1
5309,Lorient,2018,1961.0,establishment_creations,1770.0,1691.0,1655.0,0.0467179183914843,0.0694864048338368,1,1,1,1,159,2318.6,2318.84542182402,0.0814321924843941,5,1,GI,0.2892655367231638,0.8938804324884346,0.1671550320789044,0.2892655367231638,0.1067796610169491,1,0.1228070175438596
5309,Lorient,2019,2342.0,establishment_creations,1961.0,1770.0,1691.0,0.107909604519774,0.1596688350088705,1,1,1,1,159,6506.2,6499.369010987844,0.1266344397280175,5,1,GI,0.2758796532381438,0.905548144452852,0.1606297300157767,0.2758796532381438,0.1279959204487506,1,0.056640625
5309,Lorient,2020,2286.0,establishment_creations,2342.0,1961.0,1770.0,0.1942886282508924,0.3231638418079096,1,1,1,1,159,6475.0,6485.20547837377,0.1446604096215697,5,1,GI,0.251067463706234,0.9228916792024996,0.1500746404169652,0.251067463706234,0.1105892399658411,1,0.0868761552680221
5309,Lorient,2021,2871.0,establishment_creations,2286.0,2342.0,1961.0,-0.0239111870196413,0.1657317695053544,1,1,1,1,159,1999.8,2000.754001544071,0.0215556964198998,5,1,GI,0.2694663167104112,0.9109417481368618,0.1585840702545602,0.2694663167104112,0.110673665791776,1,0.0476190476190476
5309,Lorient,2022,2912.0,establishment_creations,2871.0,2286.0,2342.0,0.2559055118110236,0.2258753202391118,1,1,1,1,159,2582.8,2564.5963445492957,0.2704235561754947,5,1,GI,0.2633228840125391,0.9154548839807964,0.1560641789445881,0.2633228840125391,0.1076280041797283,1,0.2272727272727272
5309,Lorient,2023,2896.0,establishment_creations,2912.0,2871.0,2286.0,0.0142807384186694,0.273840769903762,1,1,1,1,159,2685.4,2678.209394117549,-0.0037707903314995,5,1,GI,0.2173763736263736,0.9271778969367184,0.1474511494686631,0.2173763736263736,0.1009615384615384,1,-0.1626984126984127
5309,Lorient,2024,3272.0,establishment_creations,2896.0,2912.0,2871.0,-0.0054945054945054,0.0087077673284569,1,1,1,1,159,2897.0,2887.697491410787,0.0174122750211676,5,1,MN,0.2209944751381215,0.9245997989947716,0.1492618891364731,0.2206491712707182,0.0980662983425414,1,0.0174880763116057
5310,Morlaix,2012,780.0,establishment_creations,,,,,,1,0,0,0,160,,,,0,0,,,,,,,0,
5310,Morlaix,2013,708.0,establishment_creations,780.0,,,,,1,1,0,0,160,,,,0,0,GI,0.2948717948717949,0.8930727059150123,0.1670512820512819,0.2948717948717949,0.1269230769230769,1,
5310,Morlaix,2014,833.0,establishment_creations,708.0,780.0,,-0.0923076923076923,,1,1,1,0,160,,,,0,0,GI,0.2740112994350282,0.884694950920362,0.1657529764754699,0.2740112994350282,0.1242937853107344,1,-0.1565217391304348
5310,Morlaix,2015,877.0,establishment_creations,833.0,708.0,780.0,0.1765536723163842,0.0679487179487179,1,1,1,1,160,,,,0,0,GI,0.3157262905162065,0.8688983703627989,0.1790387223316697,0.3157262905162065,0.0996398559423769,1,0.3556701030927835
5310,Morlaix,2016,776.0,establishment_creations,877.0,833.0,708.0,0.0528211284513805,0.2387005649717514,1,1,1,1,160,,,,0,0,GI,0.322690992018244,0.8748012945813888,0.1791181973375077,0.322690992018244,0.0786773090079817,1,0.0760456273764258
5310,Morlaix,2017,816.0,establishment_creations,776.0,877.0,833.0,-0.1151653363740022,-0.0684273709483793,1,1,1,1,160,28594.8,28595.31425597136,0.0519439125992119,5,1,GI,0.3221649484536082,0.881880970707503,0.1766593155489424,0.3221649484536082,0.0966494845360824,1,-0.1166077738515901
5310,Morlaix,2018,862.0,establishment_creations,816.0,776.0,877.0,0.0515463917525773,-0.0695553021664766,1,1,1,1,160,858.6,857.4488102305808,0.100700088931306,5,1,GI,0.3321078431372549,0.8655065552831873,0.1859381007304882,0.3321078431372549,0.0833333333333333,1,0.084
5310,Morlaix,2019,1043.0,establishment_creations,862.0,816.0,776.0,0.0563725490196078,0.1108247422680412,1,1,1,1,160,901.8,903.3676926547556,0.1517590185122915,5,1,GI,0.32830626450116,0.8748202063746077,0.1823902756768103,0.32830626450116,0.0951276102088167,1,0.044280442804428
5310,Morlaix,2020,1041.0,establishment_creations,1043.0,862.0,816.0,0.2099767981438515,0.2781862745098039,1,1,1,1,160,3575.2,3503.763713491369,0.166760612669029,5,1,GI,0.3048897411313518,0.8843287318331179,0.1743376148711815,0.3048897411313518,0.0680728667305848,1,0.1236749116607773
5310,Morlaix,2021,1345.0,establishment_creations,1041.0,1043.0,862.0,-0.0019175455417066,0.2076566125290023,1,1,1,1,160,4020.4,4079.17455828701,0.0773198950869496,5,1,GI,0.3102785782901057,0.8918072264509822,0.1718171675982138,0.3102785782901057,0.0874159462055715,1,0.0157232704402515
